"Table S2, dinocyst percentages and environmental parameters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dinocyst  percentages, See table 1 for abbreviations ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Site number","Aand","Atax","Btep","Bspo","Iacu","Ipal","Ipar","Ipat","Isph","Istr","Ipli","Ivel","Ijap","Lmac","Mcho","Nlab","Nrig","Ocen","Oisr","Ojan","Olon","Ogig","Pzoh","Pret","Smem","Sdel","Selo","Sram","Sbel","Sben","Sbul","Slaz","Smir","Sgra","Spac","Sspp","Tpel","Pdal","Stri","Imin","Imic","Ibre","Ekar","Bspp","Dubr","Peri","Lspp","Snep","Xxan","Squa","Pnud","Tapp","Tvar","Vcal","Vspi","Pame","Qcon","Pkof","Parc","Psch","Gymn","Eacu","Egra","Edel","Etra","Espp","Sste","Sbif","Cysa","Tvan","Dcha"
"G028",0,0.668896321070234,0.334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,29.4314381270903,0,23.0769230769231,0,0,0,0,0,0,0,0,3.01003344481605,3.67892976588629,0,0,0,0,0,0,0,1.33779264214047,0,24.4147157190635,0,3.34448160535117,0,0,0,8.36120401337793,0,0,0,0,0,2.34113712374582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G029",0,0,0.320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,28.525641025641,0,25,0,0,0,0,0,0,0,0,4.48717948717949,2.56410256410256,0,0,0,0,0,0,0,1.28205128205128,0,23.3974358974359,0,3.84615384615385,0,0,0,7.69230769230769,0,0,0,0,0,2.88461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G030",0,0.655737704918033,0.983606557377049,0,0,0,0,0,0,0,0,0,0,0,0,23.9344262295082,0,22.6229508196721,0,0,0,0,0,0,0,0,4.26229508196721,0.327868852459016,0,0,0,0,0,0,0,1.9672131147541,0,25.5737704918033,0,5.24590163934426,0,0,0,11.4754098360656,0,0,0,0,0,2.95081967213115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G031",0,0.28169014084507,2.25352112676056,0,0,0,0,0,0,0,0,0,0,0,0,33.5211267605634,0,16.3380281690141,0,0,0,0,0,0,0,0,4.22535211267606,0.845070422535211,0,0,0,0,0,0,0,0.563380281690141,0,23.943661971831,0,5.35211267605634,0,0,0,9.85915492957746,0,0,0,0,0,2.8169014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G032",0,0.66006600660066,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4521452145215,0,19.4719471947195,0,0,0,0,0,0,0,0,3.96039603960396,1.98019801980198,0,0,0,0,0,0,0,0.99009900990099,0,35.3135313531353,0,2.31023102310231,0,0,0,12.2112211221122,0,0,0,0,0,1.65016501650165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G033",0,0.307692307692308,4.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,4.61538461538461,0,32.9230769230769,0,0,0,0,0,0,0,0,1.23076923076923,0.615384615384615,0,0,0,0,0,0,0,0.923076923076923,0,37.8461538461538,0,2.15384615384615,0,0,0,14.4615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G034",0,0.254452926208651,3.56234096692112,0,0,0,0,0,0,0,0,0,0,0,0,5.34351145038168,0,32.824427480916,0,0,0,0,0,0,0,0,2.29007633587786,0.254452926208651,0,0,0,0,0,0,0,1.52671755725191,0,40.9669211195929,0,1.78117048346056,0,0,0,10.941475826972,0,0,0,0,0,0.254452926208651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G035",0,0.53475935828877,2.67379679144385,0,0,0,0,0,0,0,0,0,0,0,0,4.01069518716578,0,31.0160427807487,0,0,0,0,0,0,0,0,1.8716577540107,1.06951871657754,0,0,0,0,0,0,0,1.60427807486631,0,40.9090909090909,0,1.33689839572193,0,0,0,14.7058823529412,0,0,0,0,0,0.267379679144385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G037",0,0.357142857142857,0.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,1.42857142857143,0,6.42857142857143,0,0,0,0,0,0,0,0,3.57142857142857,3.92857142857143,0,0,0,0,0,0,0,0.357142857142857,0,7.85714285714286,0,7.85714285714286,0,0,0,65,0,0,0,0,0,2.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G038",0,0.62111801242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62111801242236,0,6.2111801242236,0,0,0,0,0,0,0,0,3.1055900621118,4.34782608695652,0,0,0,0,0,0,0,0.62111801242236,0,13.0434782608696,0,13.0434782608696,0,0,0,56.5217391304348,0,0,0,0,0,1.86335403726708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2508038585209,0,0,0,0,0,0,0,0,1.28617363344051,2.2508038585209,0,0,0,0,0,0,0,0,0,6.10932475884244,0,9.96784565916399,0,0,0,76.5273311897106,0,0,0,0,0,1.60771704180064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G040",0,0,0.275482093663912,0,0,0,0,0,0,0,0,0,0,0,0,1.92837465564738,0,11.2947658402204,0,0,0,0,0,0,0,0,2.2038567493113,4.95867768595041,0,0,0,0,0,0,0,1.65289256198347,0,26.1707988980716,0,9.366391184573,0,0,0,41.3223140495868,0,0,0,0,0,0.826446280991736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G041",0,0,1.50943396226415,0,0,0,0,0,0,0,0,0,0,0,0,0.754716981132075,0,12.0754716981132,0,0,0,0,0,0,0,0,2.64150943396226,8.67924528301887,0,0,0,0,0,0,0,1.50943396226415,0,32.4528301886792,0,7.16981132075472,0,0,0,30.9433962264151,0,0,0,0,0,2.26415094339623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G042",0,0.88495575221239,1.17994100294985,0,0,0,0,0,0,0,0,0,0,0,0,2.94985250737463,0,11.7994100294985,0,0,0,0,0,0,0,0,4.12979351032448,5.30973451327434,0,0,0,0,0,0,0,0.589970501474926,0,26.2536873156342,0,9.14454277286136,0,0,0,36.283185840708,0,0,0,0,0,1.47492625368732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G043",0,0.37037037037037,1.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,7.40740740740741,0,0,0,0,0,0,0,0,0.740740740740741,1.85185185185185,0,0,0,0,0,0,0,0,0,18.1481481481481,0,9.25925925925926,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G044",0,1.19521912350598,0.796812749003984,0,0,0,0,0,0,0,0,0,0,0,0,2.39043824701195,0,8.76494023904382,0,0,0,0,0,0,0,0,1.99203187250996,3.98406374501992,0,0,0,0,0,0,0,0,0,17.5298804780876,0,12.3505976095618,0,0,0,50.597609561753,0,0,0,0,0,0.398406374501992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G045",0,0,0.241545893719807,0,0,0,0,0,0,0,0,0,0,0,0,1.69082125603865,0,15.2173913043478,0,0,0,0,0,0,0,0,2.65700483091787,3.14009661835749,0,0,0,0,0,0,0,2.89855072463768,0,12.3188405797101,0,17.1497584541063,0,0,0,41.7874396135266,0,0,0,0,0,2.89855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G046",0,0.413223140495868,1.2396694214876,0,0,0,0,0,0,0,0,0,0,0,0,0.413223140495868,0,9.09090909090909,0,0,0,0,0,0,0,0,4.13223140495868,3.71900826446281,0,0,0,0,0,0,0,0,0,21.0743801652893,0,23.1404958677686,0,0,0,35.1239669421488,0,0,0,0,0,1.65289256198347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G047",0,0.284900284900285,1.42450142450142,0,0,0,0,0,0,0,0,0,0,0,0,1.70940170940171,0,12.5356125356125,0,0,0,0,0,0,0,0,5.41310541310541,5.98290598290598,0,0,0,0,0,0,0,0.854700854700855,0,27.9202279202279,0,10.5413105413105,0,0,0,31.3390313390313,0,0,0,0,0,1.99430199430199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
